,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
187,2nd,2240,K‐8 School,78.87%,1.0,20.6,6.0,1.0,0.3,8.0,1.0,0.0,3.0,0.0,40.9,24356.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.6,203231.0,463.0,FY14
188,8th,6050,High School,58.79%,2.0,46.2,2.0,1.8,1.2,0.0,1.0,0.0,2.0,0.0,56.2,8167.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,75103.0,1112.0,FY14
189,9th,7350,Elementary School,78.34%,2.0,37.0,5.0,1.8,1.0,8.0,1.0,3.0,6.0,0.0,64.8,40901.0,0.0,9.4,0.0,0.4,0.0,0.0,0.0,9.0,0.0,0.0,18.8,261343.0,947.0,FY14
190,6th,8210,Elementary School,71.04%,1.0,20.4,6.0,1.0,1.0,6.0,1.0,0.0,3.0,0.0,39.4,31476.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,65989.0,537.0,FY14
191,7th,5370,Elementary School,78.55%,1.0,16.3,2.0,1.0,0.8,2.0,1.0,1.0,4.0,0.0,29.2,13311.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,128513.0,433.0,FY14
192,8th,6360,K‐8 School,81.45%,2.0,29.1,8.0,1.0,0.7,5.0,2.0,0.0,0.0,1.0,48.7,30865.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,252185.0,695.0,FY14
193,1st,2520,Elementary School,70.07%,1.0,12.3,2.0,0.5,0.3,6.0,1.0,0.0,2.0,0.0,25.1,7542.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,77989.0,309.0,FY14
194,6th,7430,Elementary School,86.25%,1.0,25.1,7.0,1.2,0.6,7.0,1.0,0.0,4.0,0.0,46.9,38246.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.9,148467.0,724.0,FY14
195,9th,8120,Middle School,67.71%,2.0,52.8,8.0,1.4,1.0,3.0,1.0,0.0,7.0,0.0,76.2,42262.0,0.0,0.8,0.0,1.1,0.0,0.0,0.0,6.0,0.0,0.0,7.9,16176.0,1169.0,FY14
196,2nd,1250,Elementary School,81.35%,1.0,24.0,6.0,1.6,0.6,6.0,1.0,0.0,7.0,0.0,47.2,23142.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.9,151604.0,602.0,FY14
