,Council District,Economically Disadvantaged Rate,Organization Code,School Level,budget_year,enrollment,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Other,grant_fund: Principals/Assistant Principals,grant_fund: Secretaries,grant_fund: Student Climate Staff,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Support Services Assistants,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Total Positions,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Other,operating_fund: Principals/Assistant Principals,operating_fund: Secretaries,operating_fund: Student Climate Staff,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,operating_fund: Support Services Assistants,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Total Positions,projected_enrollment
53,8th,73.69%,6060,High School,FY18,682.0,0.0,2.7,0.0,1.0,1.0,0.0,2.0,316556.0,0.0,4.6,0.2,11.5,20.0,3.3,1.1,1.0,3.0,1.0,3.0,131907.0,0.0,29.0,16.8,78.2,
54,5th,85.62%,2390,K‐8 School,FY18,302.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8460.0,2.8,1.2,0.2,5.2,6.0,0.0,1.0,0.0,1.0,1.0,3.0,94859.0,3.2,16.0,2.8,34.0,
55,7th,87.75%,7730,Middle School,FY18,444.0,0.0,2.3,0.0,0.0,1.0,0.0,2.0,185928.0,2.0,2.6,0.2,10.2,5.0,3.5,0.5,0.2,1.0,2.0,2.0,126845.0,0.0,22.5,5.8,42.5,
56,4th,73.53%,4020,High School,FY18,581.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,33952.0,0.0,5.0,0.2,11.2,7.0,0.0,1.0,0.0,2.0,1.0,2.0,76902.0,1.0,24.2,8.8,47.0,
57,6th,75.58%,8240,K‐8 School,FY18,904.0,0.0,0.1,0.0,0.0,0.0,0.0,4.0,106942.0,1.0,5.0,0.2,10.3,2.0,1.1,1.0,1.0,2.0,1.0,0.0,32864.0,4.0,37.2,3.8,53.1,
58,5th,86.68%,4470,Elementary School,FY18,353.0,0.0,1.9,0.0,1.0,0.0,0.0,3.0,35429.0,1.6,4.1,1.2,12.8,16.0,0.1,2.0,0.0,1.0,1.0,0.0,168329.0,2.5,14.5,6.8,43.9,
59,2nd,78.27%,1130,Middle School,FY18,380.0,0.0,1.0,0.0,0.8,0.0,0.0,1.0,20465.0,3.0,1.4,0.2,7.4,5.0,0.0,1.0,0.2,1.0,1.0,1.0,90888.0,3.0,19.3,5.8,37.3,
60,5th,87.52%,5320,K‐8 School,FY18,516.0,0.0,1.0,0.0,1.0,0.0,0.0,5.2,18825.0,0.0,4.6,0.0,11.7,14.0,0.0,1.0,2.0,1.0,1.0,0.9,167959.0,0.0,28.7,8.0,56.6,
61,1st,74.56%,2640,K‐8 School,FY18,794.0,0.0,1.4,0.0,1.0,0.0,0.0,0.0,239496.0,4.0,5.2,0.2,11.9,7.0,3.2,1.0,0.0,2.0,1.0,7.0,91949.0,1.0,41.7,4.8,68.6,
62,4th,53.16%,6450,K‐8 School,FY18,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18261.0,2.0,3.2,0.2,5.4,13.0,1.0,1.0,0.0,1.0,1.0,3.0,24274.0,0.0,12.0,6.8,38.8,
63,5th,61.17%,2210,K‐8 School,FY18,464.0,0.0,2.1,0.0,0.0,0.0,0.0,1.0,61088.0,3.0,3.4,0.2,9.7,27.0,4.1,2.3,0.0,2.0,1.0,4.0,210839.0,0.0,24.4,15.8,80.6,
64,7th,80.40%,7300,K‐8 School,FY18,915.0,0.0,2.4,0.0,1.0,0.6,0.0,0.0,3825.0,4.0,8.0,0.2,16.2,6.0,1.6,1.2,0.0,1.4,1.0,9.0,142484.0,4.0,41.2,7.8,73.2,
65,7th,78.32%,5520,High School,FY18,516.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,8167.0,0.0,3.7,0.2,5.4,13.0,1.7,1.0,1.0,2.0,1.0,2.0,58718.0,0.0,23.7,7.8,53.2,
66,7th,83.65%,5170,K‐8 School,FY18,903.0,0.0,0.8,0.0,0.0,0.0,0.0,11.0,23550.0,4.6,5.0,0.2,21.7,22.0,0.2,3.1,0.0,2.0,1.0,0.0,85230.0,1.4,41.0,10.8,81.4,
67,3rd,83.60%,1360,K‐8 School,FY18,388.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,244199.0,0.0,5.8,0.2,11.0,11.0,3.0,2.0,0.0,1.0,1.0,2.0,90594.0,4.0,19.3,5.8,49.0,
