,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,projected_enrollment,budget_year
166,3rd,8560,High School,70.17%,1.0,13.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,22.0,170148.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4672.0,239.0,FY19
167,4th,4350,K‐8 School,84.88%,1.0,28.1,9.0,2.4,1.0,12.0,1.0,0.0,3.5,1.0,59.0,43339.0,1.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.6,10.3,213780.0,534.0,FY19
168,5th,5050,High School,75.60%,1.0,13.8,2.0,1.1,1.0,0.0,1.0,0.0,0.2,0.2,20.3,127888.0,0.0,4.0,0.0,0.1,0.0,0.0,0.0,0.0,3.8,0.0,7.9,3198.0,309.0,FY19
169,1st,5400,Elementary School,83.92%,1.0,23.8,6.0,1.1,1.0,7.0,2.0,0.0,0.0,0.0,41.9,92148.0,0.0,8.4,0.0,0.1,0.0,0.0,0.0,0.0,6.0,1.0,15.5,62178.0,591.0,FY19
170,1st,2160,High School,66.42%,2.0,34.7,8.0,4.0,1.0,5.0,1.0,0.0,4.0,0.0,59.7,120683.0,0.0,3.5,0.0,2.8,0.0,0.0,0.0,2.0,0.0,1.0,9.3,17119.0,662.0,FY19
171,9th,6310,K‐8 School,63.15%,1.0,18.9,6.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,35.9,103573.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,10.4,5928.0,418.0,FY19
172,7th,7440,Elementary School,87.05%,2.0,29.4,6.0,0.4,1.0,5.0,1.0,5.0,3.4,0.0,53.2,80113.0,0.0,6.8,0.0,2.2,0.0,0.0,0.0,1.0,6.6,1.0,17.6,54921.0,562.0,FY19
173,7th,7010,High School,73.61%,2.0,42.6,21.0,2.2,1.4,23.0,2.0,0.0,10.0,0.0,104.2,93766.0,1.0,8.4,0.0,2.4,0.0,0.0,0.0,0.0,3.0,1.0,15.8,226217.0,933.0,FY19
174,7th,5260,Elementary School,88.77%,3.0,36.7,4.0,0.1,1.0,3.0,1.0,1.0,6.7,0.0,56.5,62618.0,0.0,8.6,1.0,4.1,0.0,0.0,0.0,4.0,3.3,1.0,22.0,15697.0,799.0,FY19
175,3rd,1420,K‐8 School,85.17%,1.0,16.2,11.0,1.1,2.0,27.0,1.0,0.0,0.0,0.0,59.3,102763.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.0,4.0,2.0,9.1,19646.0,328.0,FY19
